,Method,Slice,Violation_gap
213,Proposed_HSRS,Critical Slice,0.0
214,Proposed_HSRS,Performance Slice,0.0
215,Proposed_HSRS,Business Slice,75.24086867775999
216,Optimal ILP,Critical Slice,0.0
217,Optimal ILP,Performance Slice,0.0
218,Optimal ILP,Business Slice,7.154364549371994
219,BestCQI,Critical Slice,100.0
220,BestCQI,Performance Slice,100.0
221,BestCQI,Business Slice,83.987270359456
222,NVS,Critical Slice,0.0
223,NVS,Performance Slice,64.259824309984
224,NVS,Business Slice,73.23239915192799
225,Proposed_HSRS,Critical Slice,0.0
226,Proposed_HSRS,Performance Slice,0.0
227,Proposed_HSRS,Business Slice,82.947409021024
228,Optimal ILP,Critical Slice,0.0
229,Optimal ILP,Performance Slice,0.0
230,Optimal ILP,Business Slice,10.493749913311996
231,BestCQI,Critical Slice,100.0
232,BestCQI,Performance Slice,100.0
233,BestCQI,Business Slice,100.0
234,NVS,Critical Slice,0.0
235,NVS,Performance Slice,68.216092958848
236,NVS,Business Slice,71.883190186516
237,Proposed_HSRS,Critical Slice,0.0
238,Proposed_HSRS,Performance Slice,0.0
239,Proposed_HSRS,Business Slice,90.405624942208
240,Optimal ILP,Critical Slice,0.0
241,Optimal ILP,Performance Slice,0.0
242,Optimal ILP,Business Slice,22.96291009304
243,BestCQI,Critical Slice,100.0
244,BestCQI,Performance Slice,79.253575028896
245,BestCQI,Business Slice,100.0
246,NVS,Critical Slice,0.0
247,NVS,Performance Slice,57.7418574364288
248,NVS,Business Slice,74.350214370952
249,Proposed_HSRS,Critical Slice,0.0
250,Proposed_HSRS,Performance Slice,0.0
251,Proposed_HSRS,Business Slice,95.928034107712
252,Optimal ILP,Critical Slice,0.0
253,Optimal ILP,Performance Slice,0.0
254,Optimal ILP,Business Slice,23.294176450528003
255,BestCQI,Critical Slice,100.0
256,BestCQI,Performance Slice,100.0
257,BestCQI,Business Slice,100.0
258,NVS,Critical Slice,0.0
259,NVS,Performance Slice,60.2544548497408
260,NVS,Business Slice,78.072620211364
